FunctionName, RelativePath, CountLineCode, CountPath, Cyclomatic, MaxNesting, Knots, CountInput, CountOutput
panel_deactivate, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 1, 2
panel_deallocate_patterns, gnuit-4.9.5\src\panel.c, 9, 2, 2, 1, 0, 2, 1
panel_end, gnuit-4.9.5\src\panel.c, 18, 3, 3, 2, 0, 7, 5
panel_find_index, gnuit-4.9.5\src\panel.c, 37, 1296, 16, 2, 11, 9, 9
panel_fit_number, gnuit-4.9.5\src\panel.c, 18, 2, 3, 1, 0, 8, 5
panel_get_centered_fos, gnuit-4.9.5\src\panel.c, 11, 2, 4, 1, 1, 7, 1
panel_get_current_file_gid, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 0, 1
panel_get_current_file_mode, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 0, 1
panel_get_current_file_name, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 6, 1
panel_get_current_file_type, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 5, 1
panel_get_current_file_uid, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 0, 1
panel_get_fos, gnuit-4.9.5\src\panel.c, 11, 2, 2, 1, 1, 6, 3
panel_get_next, gnuit-4.9.5\src\panel.c, 23, 6, 7, 3, 7, 14, 3
panel_get_path, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 5, 1
panel_get_reserved_characters, gnuit-4.9.5\src\panel.c, 11, 2, 2, 1, 1, 6, 1
panel_init, gnuit-4.9.5\src\panel.c, 63, 8, 5, 1, 1, 12, 47
panel_init_iterator, gnuit-4.9.5\src\panel.c, 7, 1, 1, 0, 0, 8, 3
panel_isdir, gnuit-4.9.5\src\panel.c, 9, 2, 2, 1, 1, 3, 2
panel_isearch_backward, gnuit-4.9.5\src\panel.c, 17, 3, 3, 2, 3, 7, 2
panel_isearch_forward, gnuit-4.9.5\src\panel.c, 15, 3, 3, 2, 3, 8, 2
panel_load_fti, gnuit-4.9.5\src\panel.c, 36, 8, 8, 3, 1, 9, 7
panel_load_inode, gnuit-4.9.5\src\panel.c, 99, 64, 19, 5, 9, 19, 19
panel_mkdirs, gnuit-4.9.5\src\panel.c, 22, 5, 5, 4, 5, 3, 5
panel_mode2string, gnuit-4.9.5\src\panel.c, 43, 192, 16, 2, 7, 4, 2
panel_no_optimizations, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 3, 2
panel_parse_patterns, gnuit-4.9.5\src\panel.c, 47, 10, 11, 4, 9, 2, 7
panel_percent, gnuit-4.9.5\src\panel.c, 9, 2, 3, 1, 1, 3, 1
panel_read_directory, gnuit-4.9.5\src\panel.c, 199, 3208, 23, 4, 11, 20, 33
panel_recover, gnuit-4.9.5\src\panel.c, 15, 2, 2, 1, 0, 9, 9
panel_resize, gnuit-4.9.5\src\panel.c, 19, 2, 2, 1, 1, 12, 12
panel_select_all, gnuit-4.9.5\src\panel.c, 13, 3, 3, 2, 0, 7, 4
panel_set_current_entry, gnuit-4.9.5\src\panel.c, 10, 1, 1, 0, 0, 11, 5
panel_set_focus, gnuit-4.9.5\src\panel.c, 14, 3, 3, 2, 0, 6, 6
panel_set_wrapped_isearch_flag, gnuit-4.9.5\src\panel.c, 7, 1, 1, 0, 0, 2, 2
panel_unlink, gnuit-4.9.5\src\panel.c, 8, 2, 2, 1, 0, 2, 2
panel_unselect_all, gnuit-4.9.5\src\panel.c, 9, 2, 2, 1, 0, 6, 4
panel_update, gnuit-4.9.5\src\panel.c, 11, 1, 1, 0, 0, 15, 6
panel_update_entries, gnuit-4.9.5\src\panel.c, 25, 5, 5, 1, 1, 14, 10
panel_update_entry, gnuit-4.9.5\src\panel.c, 133, 37633, 37, 3, 29, 27, 15
panel_update_frame, gnuit-4.9.5\src\panel.c, 29, 5, 4, 1, 1, 7, 9
panel_update_info, gnuit-4.9.5\src\panel.c, 87, 127, 14, 3, 7, 20, 21
panel_update_path, gnuit-4.9.5\src\panel.c, 20, 3, 3, 1, 2, 8, 8
panel_update_size, gnuit-4.9.5\src\panel.c, 39, 4, 6, 2, 2, 15, 13
panel_warning, gnuit-4.9.5\src\panel.c, 31, 12, 7, 2, 12, 4, 4
panel_window, gnuit-4.9.5\src\panel.c, 6, 1, 1, 0, 0, 3, 1
same_file, gnuit-4.9.5\src\panel.c, 14, 2, 2, 1, 1, 6, 2
sort_compare_fn, gnuit-4.9.5\src\panel.c, 63, 43, 24, 3, 116, 9, 4
strcasecmp, gnuit-4.9.5\lib\strcasecmp.c, 23, 5, 9, 2, 4, 3, 3
strncasecmp, gnuit-4.9.5\lib\strncasecmp.c, 23, 5, 9, 2, 4, 8, 3
xchg, gnuit-4.9.5\src\panel.c, 8, 1, 1, 0, 0, 3, 2
rpl_malloc, gnuit-4.9.5\lib\malloc.c, 9, 2, 2, 1, 0, 1, 3
readlink, gnuit-4.9.5\lib\readlink.c, 8, 2, 2, 1, 0, 2, 3
configuration_end, gnuit-4.9.5\src\configure.c, 6, 2, 2, 1, 0, 4, 1
configuration_getline, gnuit-4.9.5\src\configure.c, 45, 66, 12, 4, 9, 5, 9
configuration_getvarinfo, gnuit-4.9.5\src\configure.c, 56, 1472, 19, 6, 7, 17, 12
configuration_init, gnuit-4.9.5\src\configure.c, 12, 3, 3, 1, 2, 4, 4
configuration_section, gnuit-4.9.5\src\configure.c, 10, 3, 3, 2, 3, 4, 6
usage, gnuit-4.9.5\src\gitps.c, 11, 1, 1, 0, 0, 2, 1
xstack_point, gnuit-4.9.5\src\xstack.c, 6, 1, 1, 0, 0, 2, 1
xstack_truncate, gnuit-4.9.5\src\xstack.c, 8, 1, 1, 0, 0, 5, 4
_getopt_internal_r, gnuit-4.9.5\lib\getopt.c, 362, 1920074, 66, 6, 61, 20, 17
_getopt_long_only_r, gnuit-4.9.5\lib\getopt1.c, 8, 1, 1, 0, 0, 6, 2
_getopt_long_r, gnuit-4.9.5\lib\getopt1.c, 8, 1, 1, 0, 0, 6, 2
getopt_long, gnuit-4.9.5\lib\getopt1.c, 7, 1, 1, 0, 0, 0, 1
getopt_long_only, gnuit-4.9.5\lib\getopt1.c, 8, 1, 1, 0, 0, 0, 1
gen_tempname, gnuit-4.9.5\lib\tempname.c, 76, 19, 11, 4, 32, 4, 7
xbasename, gnuit-4.9.5\src\xio.c, 11, 2, 3, 1, 0, 1, 4
xdirname, gnuit-4.9.5\src\xio.c, 14, 2, 2, 1, 1, 1, 3
xread, gnuit-4.9.5\src\xio.c, 18, 2, 3, 1, 1, 4, 3
xwrite, gnuit-4.9.5\src\xio.c, 18, 2, 3, 1, 1, 6, 3
blocked_handler, gnuit-4.9.5\lib\sigprocmask.c, 7, 2, 2, 1, 0, 2, 2
rpl_signal, gnuit-4.9.5\lib\sigprocmask.c, 23, 5, 4, 2, 3, 3, 4
sigaddset, gnuit-4.9.5\lib\sigprocmask.c, 16, 3, 3, 2, 1, 1, 2
sigdelset, gnuit-4.9.5\lib\sigprocmask.c, 16, 3, 3, 2, 1, 1, 2
sigemptyset, gnuit-4.9.5\lib\sigprocmask.c, 6, 1, 1, 0, 0, 0, 1
sigfillset, gnuit-4.9.5\lib\sigprocmask.c, 6, 1, 1, 0, 0, 0, 1
sigismember, gnuit-4.9.5\lib\sigprocmask.c, 12, 3, 3, 2, 2, 1, 1
sigpending, gnuit-4.9.5\lib\sigprocmask.c, 11, 1, 1, 0, 0, 0, 1
sigprocmask, gnuit-4.9.5\lib\sigprocmask.c, 60, 46, 11, 5, 10, 3, 6
tty_putc, gnuit-4.9.5\src\tty.c, 7, 1, 1, 0, 0, 2, 2
tty_puts, gnuit-4.9.5\src\tty.c, 19, 4, 4, 1, 2, 12, 4
window_columns, gnuit-4.9.5\src\window.c, 6, 1, 1, 0, 0, 2, 1
