FunctionName, RelativePath,NumberOfBugs
rl_vi_fetch_history, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_first_print, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_goto_mark, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_insert_beg, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_match, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_movement_mode, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_overstrike, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_overstrike_delete, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_prev_word, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_put, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_redo, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_replace, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_rubout, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_search, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_search_again, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_set_mark, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_start_inserting, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_subst, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_tilde_expand, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_undo, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_yank_arg, bash-4.2\lib\readline\vi_mode.c, 0
rl_vi_yank_to, bash-4.2\lib\readline\vi_mode.c, 1
vi_change_dispatch, bash-4.2\lib\readline\vi_mode.c, 0
vi_delete_dispatch, bash-4.2\lib\readline\vi_mode.c, 0
vi_yank_dispatch, bash-4.2\lib\readline\vi_mode.c, 0
vidomove_dispatch, bash-4.2\lib\readline\vi_mode.c, 0
full_pathname, bash-4.2\general.c, 0
remember_mail_dates, bash-4.2\mailcheck.h, 0
expand_string_to_string, bash-4.2\subst.c, 0
bind_variable, bash-4.2\variables.h, 0
unbind_variable, bash-4.2\variables.c, 0
add_mail_file, bash-4.2\mailcheck.c, 0
alloc_mail_file, bash-4.2\mailcheck.c, 0
check_mail, bash-4.2\mailcheck.c, 0
dispose_mail_file, bash-4.2\mailcheck.c, 0
file_access_date_changed, bash-4.2\mailcheck.c, 0
file_has_grown, bash-4.2\mailcheck.c, 0
file_mod_date_changed, bash-4.2\mailcheck.c, 0
find_mail_file, bash-4.2\mailcheck.c, 0
free_mail_files, bash-4.2\mailcheck.c, 0
init_mail_dates, bash-4.2\mailcheck.c, 0
init_mail_file, bash-4.2\mailcheck.c, 0
mailstat, bash-4.2\lib\sh\mailstat.c, 0
make_default_mailpath, bash-4.2\mailcheck.c, 0
parse_mailpath_spec, bash-4.2\mailcheck.c, 0
reset_mail_files, bash-4.2\mailcheck.c, 0
reset_mail_timer, bash-4.2\mailcheck.c, 0
time_to_check_mail, bash-4.2\mailcheck.c, 0
update_mail_file, bash-4.2\mailcheck.c, 0
readline, bash-4.2\lib\readline\readline.c, 0
rl_untranslate_keyseq, bash-4.2\lib\readline\bind.c, 0
rl_variable_bind, bash-4.2\lib\readline\readline.h, 0
fatal_error, bash-4.2\error.c, 0
j_strsignal, bash-4.2\jobs.c, 0
stdcat, bash-4.2\lib\readline\examples\rlcat.c, 0
unfreeze_jobs_list, bash-4.2\jobs.c, 0
rl_insert, bash-4.2\lib\readline\text.c, 0
rl_copy_keymap, bash-4.2\lib\readline\keymaps.c, 0
rl_discard_keymap, bash-4.2\lib\readline\keymaps.c, 0
rl_free_keymap, bash-4.2\lib\readline\keymaps.c, 0
rl_make_keymap, bash-4.2\lib\readline\keymaps.c, 0
strftime, bash-4.2\lib\sh\strftime.c, 0
add_links, bash-4.2\support\man2html.c, 0
add_to_index, bash-4.2\support\man2html.c, 0
change_to_font, bash-4.2\support\man2html.c, 0
change_to_size, bash-4.2\support\man2html.c, 0
clear_table, bash-4.2\support\man2html.c, 0
escape_input, bash-4.2\support\man2html.c, 0
expand_char, bash-4.2\support\man2html.c, 0
expand_string, bash-4.2\support\man2html.c, 0
